ID,SEARCH_DATE,PRICE,flight_info_id
7C2217_price,2025-04-07,126900,7C2217
ZE0593_price,2025-04-07,120004,ZE0593
TW0175_price,2025-04-07,149484,TW0175
TW0171_price,2025-04-07,246784,TW0171
KE0461_price,2025-04-07,357717,KE0461
KE0457_price,2025-04-07,399364,KE0457
OZ0755_price,2025-04-07,487800,OZ0755
VN0431_price,2025-04-07,305002,VN0431
LJ0081_price,2025-04-07,206905,LJ0081
VN3443_price,2025-04-07,607634,VN3443
VN3441_price,2025-04-07,607634,VN3441
VJ0881_price,2025-04-07,98053,VJ0881
VJ0879_price,2025-04-07,98053,VJ0879
VJ0875_price,2025-04-07,98053,VJ0875
TW0173_price,2025-04-07,2324238,TW0173
RS0511_price,2025-04-07,143103,RS0511
A12881_price,2025-04-07,213357,A12881
A12879_price,2025-04-07,213357,A12879
A12875_price,2025-04-07,213357,A12875
KE5769_price,2025-04-07,514749,KE5769
H14068_price,2025-04-07,245300,H14068
H19847_price,2025-04-07,176600,H19847
RS0511_price,2025-04-07,115200,RS0511
ZE0593_price,2025-04-07,115400,ZE0593
7C2217_price,2025-04-07,140100,7C2217
VJ0875_price,2025-04-07,95600,VJ0875
VJ0881_price,2025-04-07,95600,VJ0881
TW0175_price,2025-04-07,150800,TW0175
VJ0879_price,2025-04-07,144100,VJ0879
KE0461_price,2025-04-07,420400,KE0461
VN0431_price,2025-04-07,475900,VN0431
LJ0081_price,2025-04-07,518300,LJ0081
VN3441_price,2025-04-07,654700,VN3441
OZ0755_price,2025-04-07,1094516,OZ0755
KE0457_price,2025-04-07,1116299,KE0457
H19847_price,2025-04-07,183600,H19847
A12875_price,2025-04-07,213357,A12875
A12881_price,2025-04-07,213357,A12881
H14068_price,2025-04-07,244408,H14068
H14519_price,2025-04-07,244408,H14519
H14069_price,2025-04-07,244408,H14069
A12879_price,2025-04-07,252585,A12879
ZE0593_price,2025-04-07,126100,ZE0593
RS0511_price,2025-04-07,136187,RS0511
7C2217_price,2025-04-07,173900,7C2217
YP0621_price,2025-04-07,183300,YP0621
VJ0875_price,2025-04-07,152094,VJ0875
VJ0881_price,2025-04-07,154779,VJ0881
VJ0879_price,2025-04-07,165901,VJ0879
TW0175_price,2025-04-07,208000,TW0175
TW0173_price,2025-04-07,248000,TW0173
TW0171_price,2025-04-07,238429,TW0171
KE0457_price,2025-04-07,424200,KE0457
LJ0081_price,2025-04-07,472200,LJ0081
VN0431_price,2025-04-07,442341,VN0431
OZ0755_price,2025-04-07,494300,OZ0755
KE0461_price,2025-04-07,595400,KE0461
VN3443_price,2025-04-07,654700,VN3443
A12875_price,2025-04-07,252307,A12875
A12881_price,2025-04-07,252307,A12881
A12879_price,2025-04-07,263461,A12879
H14069_price,2025-04-07,269000,H14069
H14068_price,2025-04-07,244900,H14068
H14519_price,2025-04-07,244900,H14519
H19847_price,2025-04-07,209300,H19847
